date,title,user,views,recommends,unrecommends
2024-08-29 12:45,유한양행도,"
				kiss****
			",277,4,1
2024-08-29 12:41,버텨라,"
				5eji****
			",193,4,0
2024-08-29 12:39,프로그램이 좀 방해하네,"
				quar****
			",83,1,1
2024-08-29 12:35,회사에서 대놓고 우선주 사라고 힌트를 줬는데도,"
				haek****
			",353,14,1
2024-08-29 12:21,국민연금기금 운용본부에서 나왔습니다,"
				quar****
			",179,1,0
2024-08-29 12:18,현대차 배당 안타봤니? (16000원 어떤사기꾼이야?,"
				ju******
			",343,6,0
2024-08-29 12:06,한국주식은,"
				oc******
			",241,4,1
2024-08-29 12:03,유한양행 호재공시뜨고 차익매물에,"
				yykh****
			",280,7,3
2024-08-29 11:57,오후장 말아 올릴듯 이차전지ㆍ자동차 가즈야,"
				ardo****
			",119,1,2
2024-08-29 11:56,우선주 반만이라도 가라,"
				daeh****
			",108,1,1
2024-08-29 11:53,레이스 올인,"
				dlrg****
			",112,1,1
2024-08-29 11:40,빌빌 싸네,"
				kims****
			",106,2,2
2024-08-29 11:34,배당을 얼마 준다는 건가요?,"
				kmtb****
			",563,0,3
2024-08-29 11:33,적법한 증거 인멸죄가 가장 크다!!!!!!!,"
				cold****
			",52,0,1
2024-08-29 11:28,기사 찰지게 잘쓰셧네,"
				ju******
			",137,0,0
2024-08-29 11:27,동생집에서  잔치하다왔다,"
				seok****
			",132,1,2
2024-08-29 11:27,[삭제된 게시물의 답글]2우비는 엔비디아2우b라서 급등중이냐?,"
				ju******
			",60,3,0
2024-08-29 11:25,보면 볼수록 느끼는데. 현다이 본주주주들처럼 전세계에서 가장 멍청한사람들은,"
				ju******
			",152,2,3
2024-08-29 11:23,아침에 안판 흑우 쏴리질러 ~~~,"
				thrh****
			",62,0,2
2024-08-29 11:19,원래 이래,"
				ic******
			",108,1,1
2024-08-29 11:14,시총이 높은 기업이,"
				dbsc****
			",92,0,2
2024-08-29 11:08,우선주랑 본주의 괴리율 정상화,"
				sile****
			",362,3,4
2024-08-29 11:18,전세계 본주 우선주 괴리,"
				ju******
			",69,3,1
2024-08-29 11:03,이러다가 우선주랑 본주 주가 같아지거나 넘어서는것 아닌가몰라요,"
				vemp****
			",163,2,0
2024-08-29 11:15,"유통주 프리미엄받으면, 우선주가 더앞서기도해요.","
				ju******
			",48,0,1
2024-08-29 11:00,이 주식을 산 내가 ,"
				dbsc****
			",124,1,2
2024-08-29 10:56,저펜 자동차공장스탑,"
				hanm****
			",123,1,0
2024-08-29 10:54,외국계,"
				kd******
			",111,1,0
2024-08-29 10:47,한말씀 여쭤보겠습니다.,"
				ryu7****
			",114,0,1
2024-08-29 10:46,장중 조정 멋지네,"
				shan****
			",352,4,1
2024-08-29 10:41,★ 기아: 지금 선매수 해야하는 이유 3가지?,"
				wtlk****
			",191,7,0
2024-08-29 10:40,삼바에 비하면,"
				puon****
			",103,0,6
2024-08-29 10:40,대단,"
				351c****
			",99,0,1
2024-08-29 10:36,5프로 먹은사람 보내주고 낼올라랴지,"
				98******
			",113,0,1
2024-08-29 10:36,2024년 8월 29일 뉴스 모음입니다.,"
				moon****
			",69,0,1
2024-08-29 10:25,나참~,"
				os******
			",161,1,1
2024-08-29 10:25,테슬라per55,"
				ot******
			",65,0,0
2024-08-29 10:25,단주,"
				kd******
			",46,0,0
2024-08-29 10:23,우선주는 고점 거의 회복했는데,"
				jhb2****
			",379,4,1
2024-08-29 10:22,오늘 100주만,"
				moby****
			",133,0,1
2024-08-29 10:21,연신 파라삐뽕이넹.ㅋㅋㅋㅋ,"
				kaja****
			",50,0,1
2024-08-29 10:19,이제슬슬,"
				wwwa****
			",181,1,1
2024-08-29 10:19,영익 1조5천억대도  20만원 대였는데 이거이거,"
				kk55****
			",187,3,1
2024-08-29 10:18,연기금 졸라사는구만,"
				ctac****
			",163,2,1
2024-08-29 10:18,정의선 지배구조때문에 여긴절대못오름,"
				ygvo****
			",75,0,1
2024-08-29 10:15,본주 주주들은 알려줘도 태생이 돌머가리인거같아,"
				ju******
			",135,3,2
2024-08-29 10:14,역시국장,"
				lhj4****
			",70,1,1
2024-08-29 10:11,매일경제TV에서 현대차 추천 !!,"
				oc******
			",122,2,0
